Home,Away,Round,Date,1,X,2,HG,AG,Awaited,Final
Marseille,Reims,1,07-08,1.61,3.8,5.25,4,1,1.61,1
Rennes,Lorient,1,07-08,1.5,4.75,6.0,0,1,1.5,2
Angers,Nantes,1,07-08,3.0,3.25,2.37,0,0,2.37,X
Lens,Stade Brestois,1,07-08,1.6,4.2,5.25,3,2,1.6,1
Lille,Auxerre,1,07-08,1.6,4.2,5.25,4,1,1.6,1
Montpellier,Estac Troyes,1,07-08,2.15,3.2,3.6,3,2,2.15,1
Toulouse,Nice,1,07-08,2.5,3.25,2.87,1,1,2.5,X
Clermont Foot,Paris Saint Germain,1,06-08,13.0,7.0,1.2,0,5,1.2,2
Strasbourg,Monaco,1,06-08,2.3,3.2,3.2,1,2,2.3,2
Lyon,Ajaccio,1,05-08,1.33,5.0,8.5,2,1,1.33,1
Stade Brestois,Marseille,2,14-08,3.8,3.75,1.95,1,1,1.95,X
Nice,Strasbourg,2,14-08,2.1,3.4,3.5,1,1,2.1,X
Ajaccio,Lens,2,14-08,3.25,3.1,2.3,0,0,2.3,X
Auxerre,Angers,2,14-08,2.37,3.3,3.1,2,2,2.37,X
Reims,Clermont,2,14-08,2.0,3.2,4.0,2,4,2.0,2
Estac Troyes,Toulouse,2,14-08,2.9,3.25,2.5,0,3,2.5,2
Lorient,Lyon,2,07-09,4.2,4.0,1.8,3,1,1.8,1
Paris Saint Germain,Montpellier,2,13-08,1.05,17.0,23.0,5,2,1.05,1
Monaco,Rennes,2,13-08,2.05,3.6,3.5,1,1,2.05,X
Nantes,Lille,2,12-08,3.1,3.3,2.3,1,1,2.3,X
Lille,Paris Saint Germain,3,21-08,7.0,5.5,1.36,1,7,1.36,2
Rennes,Ajaccio,3,21-08,1.5,4.33,6.5,2,1,1.5,1
Angers,Stade Brestois,3,21-08,2.37,3.25,3.1,1,3,2.37,2
Clermont Foot,Nice,3,21-08,3.6,3.3,2.1,1,0,2.1,1
Montpellier,Auxerre,3,21-08,1.9,3.5,4.0,1,2,1.9,2
Toulouse,Lorient,3,21-08,1.8,3.75,4.33,2,2,1.8,X
Strasbourg,Reims,3,21-08,1.75,3.6,4.75,1,1,1.75,X
Marseille,Nantes,3,20-08,1.66,4.0,4.75,2,1,1.66,1
Monaco,Lens,3,20-08,1.83,4.0,4.2,1,4,1.83,2
Lyon,Estac Troyes,3,19-08,1.28,6.5,8.5,4,1,1.28,1
Paris Saint Germain,Monaco,4,28-08,1.25,6.5,10.0,1,1,1.25,X
Reims,Lyon,4,28-08,4.0,4.0,1.8,1,1,1.8,X
Stade Brestois,Montpellier,4,28-08,1.9,3.5,4.0,0,7,1.9,2
Lorient,Clermont Foot,4,28-08,1.95,3.4,4.2,2,1,1.95,1
Nice,Marseille,4,28-08,2.75,3.6,2.5,0,3,2.5,2
Estac Troyes,Angers,4,28-08,2.25,3.3,3.25,3,1,2.25,1
Nantes,Toulouse,4,28-08,2.37,3.4,3.0,3,1,2.37,1
Lens,Rennes,4,27-08,2.2,3.5,3.2,2,1,2.2,1
Auxerre,Strasbourg,4,27-08,3.5,3.4,2.1,1,0,2.1,1
Ajaccio,Lille,4,26-08,3.0,3.2,2.45,1,3,2.45,2
Lens,Lorient,5,31-08,1.72,3.6,5.0,5,2,1.72,1
Lille,Nice,5,31-08,2.05,3.4,3.6,1,2,2.05,2
Marseille,Clermont Foot,5,31-08,1.36,5.0,8.0,1,0,1.36,1
Rennes,Stade Brestois,5,31-08,1.55,4.33,5.5,3,1,1.55,1
Toulouse,Paris Saint Germain,5,31-08,10.0,6.5,1.25,0,3,1.25,2
Angers,Reims,5,31-08,3.0,3.3,2.3,2,4,2.3,2
Strasbourg,Nantes,5,31-08,2.05,3.5,3.5,1,1,2.05,X
Lyon,Auxerre,5,31-08,1.28,5.75,8.0,2,1,1.28,1
Monaco,Estac Troyes,5,31-08,1.28,5.75,9.0,2,4,1.28,2
Montpellier,Ajaccio,5,31-08,2.2,3.1,3.5,2,0,2.2,1
Nice,Monaco,6,04-09,2.9,3.4,2.37,0,1,2.37,2
Estac Troyes,Rennes,6,04-09,3.75,4.0,1.85,1,1,1.85,X
Ajaccio,Lorient,6,04-09,2.4,3.0,3.1,0,1,2.4,2
Stade Brestois,Strasbourg,6,04-09,2.45,3.4,2.87,1,1,2.45,X
